"metric_name","Description","frequency","freq_label","n_coverages","coverages","temporal_agg","temporal_reason","coverage_agg","coverage_reason"
"Average Handling Time in Last 15 mins",NA,15,"Every 15 minutes",1,"SevernSide","sum","Flow count over a rolling window; summing intervals gives the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Answered in 60 seconds in Last 15 mins",NA,15,"Every 15 minutes",1,"SevernSide","sum","Flow count over a rolling window; summing intervals gives the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Longest Wait in Last 15 mins","Wait time for the call that had the longest wait until answered by an agent.",15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Calls Offered Since Midnight that Received","Calls hitting the service provider’s platform and receiving 'answer supervision'. Answer supervision can be provided by the service provider's platform by playing a welcome announcement or music.",15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Calls Answered Since Midnight that Received","Calls presented to an agent at the service provider.",15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Calls Abandoned Before Threshold Since Midnight that Received",NA,15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Calls Abandoned After Threshold Since Midnight that Received",NA,15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Average Speed to Answer Since Midnight that Received","How long it took to answer the call from the time the call received answer supervision from the service provider’s platform.",15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Average Handling Time Since Midnight that Received",NA,15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Answered in 60 seconds Since Midnight that Received",NA,15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Longest Wait Since Midnight that Received","Wait time for the call that had the longest wait until answered by an agent.",15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Calls Abandoned After Threshold in Last 15 mins (%)","(sum of call abandoned after threshold / sum of calls offered) * 100 rounded to 2 decimal points.",15,"Every 15 minutes",1,"SevernSide","sum","Flow count over a rolling window; summing intervals gives the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Answered in 60 seconds in Last 15 mins (%)","(sum of calls answered in 60 secs / sum of calls answered) * 100 rounded to 2 decimal points.",15,"Every 15 minutes",1,"SevernSide","sum","Flow count over a rolling window; summing intervals gives the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Calls Abandoned After Threshold Since Midnight that Received (%)","(sum of call abandoned after threshold / sum of calls offered) * 100 rounded to 2 decimal points.",15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Answered in 60 seconds Since Midnight that Received (%)","(sum of calls answered in 60 secs / sum of calls answered) * 100 rounded to 2 decimal points.",15,"Every 15 minutes",1,"SevernSide","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) CAS Referred to ED",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI P3 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 3.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT P1 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 1.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH P3 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 3.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI P2 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 2.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P1 Slots Booked Today","Booked in to a DtA Pathway 1 slot due to be discharged from acute or P2 today.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P1 Slots Used Yesterday","Discharged from acute or DtA Pathway 2 yesterday to DtA Pathway 1. Entered as a yesterday measure, because they were discharged yesterday.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P1 (Available) Slots Not Utilised","Number of DtA Pathway 1 slots available today minus patients booked for P1 today.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P2 Beds Occupied","Patients that are in the DtA Pathway 2 bed locations (Community, Rehab, Stroke). Snapshot at time of reporting.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P2 (Available) Beds Not Utilised","Unoccupied DtA Pathway 2 beds that have the capacity to admit a patient today.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P3 Beds Occupied","Patients that are in the P3 bed location (snapshot at time of reporting).",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P3 (Available) Beds Not Utilised","Unoccupied P3 beds that have the capacity to admit a patient today.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P1 Acute Waiting List (Booked + Unbooked)","Sum of DtA Pathway 1 BOOKED waiting for capacity, medically fit and ready to leave ACUTE AND DtA Pathway 1 UN-BOOKED waiting for capacity, medically fit and ready to leave ACUTE.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P1 Referrals Yesterday","All referrals received day before from acutes and navigated to DtA Pathway 1. Entered as a today measure, because they are received yesterday to go out today.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P1 NCtR",NA,1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P2 Acute Waiting List (Booked + Unbooked)","Sum of DtA Pathway 2 BOOKED Waiting for capacity, medically fit and ready to leave ACUTE AND DtA Pathway 2 UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P2 Patients Predicted for Admission Today","Patients that have been assessed and accepted due to transfer from acute and be admitted to the DtA Pathway 2 bed location today.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P3 Acute Waiting List (Booked + Unbooked)","Sum of DtA Pathway 3 BOOKED waiting for capacity, medically fit and ready to leave ACUTE AND DtA Pathway 3 UN-BOOKED waiting for capacity, medically fit and ready to leave ACUTE.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P3 Referrals Yesterday","Discharged from acute yesterday and admitted to P3. Entered as a yesterday measure, because they were discharged yesterday.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT NCtR Beddays","Count of days within current patient hospital spells where a patient is classified as having No Criteria to Reside.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT NCtR Patients","All people at NBT who no longer meet the clinical criteria to reside for inpatient care in acute hospitals should be discharged home or to a non-acute setting as soon as it is possible and safe to do so.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT P2 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 2.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT P3 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 3.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT P1 NCtR Patients","Patients coded to DtA Pathway 1 on the acute nCTR list at NBT, this code is applied following navigation informing the IDS.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT P2 NCtR Patients","Patients coded to DtA Pathway 2 on the acute nCTR list at NBT, this code is applied following navigation informing the IDS.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT P3 NCtR Patients","Patients coded to DtA Pathway 3 on the acute nCTR list at NBT, this code is applied following navigation informing the IDS.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT NCtR >= 65 years old",NA,1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P2 NCtR",NA,1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Unallocated Red Nursing Schedules",NA,1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Red Nursing schedules",NA,1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI NCtR Beddays","Count of days within current patient hospital spells where a patient is classified as having No Criteria to Reside.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI NCtR Patients","All people at BRI who no longer meet the clinical criteria to reside for inpatient care in acute hospitals should be discharged home or to a non-acute setting as soon as it is possible and safe to do so.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI P1 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 1.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI P1 NCtR Patients","Patients coded to DtA Pathway 1 on the acute nCTR list at BRI, this code is applied following navigation informing the IDS.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI P2 NCtR Patients","Patients coded to DtA Pathway 2 on the acute nCTR list at BRI, this code is applied following navigation informing the IDS.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI P3 NCtR Patients","Patients coded to DtA Pathway 3 on the acute nCTR list at BRI, this code is applied following navigation informing the IDS.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"BRI NCtR >= 65 years old",NA,1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH NCtR Beddays","Count of days within current patient hospital spells where a patient is classified as having No Criteria to Reside.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH NCtR Patients","All people at WGH who no longer meet the clinical criteria to reside for inpatient care in acute hospitals should be discharged home or to a non-acute setting as soon as it is possible and safe to do so.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH P1 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 1.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH P2 NCtR Beddays","Sum of patient beddays on latest code, where NCtR code applied is DtA Pathway 2.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH P1 NCtR Patients","Patients coded to DtA Pathway 1 on the acute nCTR list at WGH, this code is applied following navigation informing the IDS.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH P2 NCtR Patients","Patients coded to DtA Pathway 2 on the acute nCTR list at WGH, this code is applied following navigation informing the IDS.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH P3 NCtR Patients","Patients coded to DtA Pathway 3 on the acute nCTR list at WGH, this code is applied following navigation informing the IDS.",1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"WGH NCtR >= 65 years old",NA,1440,"Every day at 9h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DOS Status at 10am",NA,1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P1 Caseload","DtA Pathway 1 Caseload refers to those who are having therapy and/or rehab support worker (RSW) visits for an urgent rehabilitation need. This includes people who have NCtR and continue to be supported by RSWs.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P2 Referrals Yesterday","Number of referrals accepted onto DtA Pathway 2 waiting list for people that are medically fit and able to leave the ACUTE setting and do NOT have a bed secured in a P2 unit.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P2 Admissions Yesterday","Discharged from acute yesterday and admitted to DtA Pathway 2. Entered as a yesterday measure, because they were discharged yesterday.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"P3 Admissions Yesterday","Discharged from acute yesterday and admitted to DtA Pathway 3. Entered as a yesterday measure, because they were discharged yesterday.",1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Unallocated Red Nursing Schedules (%)",NA,1440,"Every day at 23h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Automated OPEL",NA,15,"Every 15 minutes",3,"BRI, WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","max","Escalation score; system-wide pressure is defined by the most stressed site."
"2. ED all-type 4-hour performance",NA,15,"Every 15 minutes",3,"BRI, WGH, NBT","mean","Rate or percentage; daily mean reflects average performance over the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"4. Majors and resuscitation occupancy (adult)",NA,15,"Every 15 minutes",3,"BRI, WGH, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"6. % of patients spending >12 hours in ED",NA,15,"Every 15 minutes",3,"BRI, WGH, NBT","mean","Rate or percentage; daily mean reflects average performance over the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"9. % of beds occupied by patients with NCtR",NA,15,"Every 15 minutes",3,"BRI, WGH, NBT","mean","Rate or percentage; daily mean reflects average performance over the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"Aggregated NHSE OPEL Score",NA,15,"Every 15 minutes",3,"BRI, WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","max","Escalation score; system-wide pressure is defined by the most stressed site."
"WGH P0 Discharges","Number of P0 discharges completed yesterday.",15,"Every 15 minutes",1,"Sirona","sum","Discharge count per interval; summing gives the daily total.","none","Single coverage area; no cross-site aggregation needed."
"WGH Complex Discharges","Number of complex discharges completed yesterday.",15,"Every 15 minutes",1,"Sirona","sum","Discharge count per interval; summing gives the daily total.","none","Single coverage area; no cross-site aggregation needed."
"BRI P0 Discharges","Number of P0 discharges completed yesterday.",15,"Every 15 minutes",1,"Sirona","sum","Discharge count per interval; summing gives the daily total.","none","Single coverage area; no cross-site aggregation needed."
"BRI Complex Discharges","Number of complex discharges completed yesterday.",15,"Every 15 minutes",1,"Sirona","sum","Discharge count per interval; summing gives the daily total.","none","Single coverage area; no cross-site aggregation needed."
"5. Median time to treatment since midnight",NA,1440,"Every day at 7h00",3,"NBT, BRI, WGH","none","Already at daily granularity; no temporal aggregation needed.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"NBT P0 Discharges","Number of P0 discharges completed yesterday.",1440,"Every day at 7h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"NBT Complex Discharges","Number of complex discharges completed yesterday.",1440,"Every day at 7h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"3. ED all-type attendance variation",NA,15,"Every 15 minutes",2,"BRI, WGH","mean","Point-in-time or rate metric; daily mean summarises typical intra-day values.","sum","Count or volume metric; summing across sites gives the system-wide total."
"8. % of open beds that are escalation beds",NA,15,"Every 15 minutes",2,"BRI, WGH","mean","Rate or percentage; daily mean reflects average performance over the day.","max","Escalation score; system-wide pressure is defined by the most stressed site."
"Intensive Caseload",NA,1440,"Every day at 7h00",1,"AWP","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Bed Occupancy Adult",NA,1440,"Every day at 7h00",1,"AWP","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Bed Occupancy PICU",NA,1440,"Every day at 7h00",1,"AWP","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Urgent Referrals",NA,1440,"Every day at 7h00",1,"AWP","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"OOT Internal Placements",NA,1440,"Every day at 7h00",1,"AWP","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
